politics,technologies
0.5163,0.5133
0.6435,0.6426
0.6308,0.5974
0.5758,0.5365
0.6103,0.5723
0.6411,0.6295
0.6534,0.6514
0.6278,0.6232
0.5868,0.5843
0.4867,0.4714
0.5779,0.5644
0.6468,0.6143
0.489,0.4521
0.4936,0.4888
0.6019,0.5565
0.3827,0.3606
0.5623,0.5322
0.5561,0.5187
0.4449,0.4439
0.5541,0.4704
0.6457,0.6049
0.4211,0.3792
0.4033,0.4001
0.4287,0.4091
0.5643,0.5103
0.4812,0.4622
0.3834,0.3618
0.5867,0.5667
0.5071,0.4704
0.5152,0.4754
0.5572,0.5258
0.4445,0.4211
0.5116,0.4745
0.5072,0.4894
0.5093,0.4335
0.5172,0.4586
0.4964,0.4897
0.5512,0.4294
0.4504,0.4502
0.4899,0.4618
0.5179,0.5046
0.5572,0.5455
0.4911,0.477
0.6045,0.5807
0.5792,0.4534
0.6359,0.6322
0.5551,0.5481
0.4809,0.4346
0.4277,0.4174
0.6093,0.5634
0.5297,0.523
0.3364,0.3117
0.5985,0.5935
0.575,0.5328
0.5787,0.5177
0.478,0.447
0.5299,0.4764
0.5086,0.5038
0.6215,0.4899
0.5669,0.4507
0.4128,0.3726
0.5553,0.534
0.5686,0.5126
0.4444,0.4389
0.3382,0.3298
0.536,0.4703
0.477,0.4667
0.5971,0.5573
0.3274,0.2996
0.4629,0.4507
0.5056,0.4562
0.7067,0.6004
0.5503,0.5476
0.4802,0.4717
0.5009,0.4304
0.4809,0.4346
0.4817,0.4434
0.5512,0.4294
0.5998,0.531
0.5171,0.4841
0.574,0.5348
0.5499,0.5198
0.5951,0.5192
0.6435,0.5658
0.4858,0.4638
0.5668,0.5327
0.4446,0.398
0.6537,0.6049
0.6349,0.5452
0.6223,0.5145
0.5211,0.5125
0.4738,0.4639
0.5835,0.5732
0.5266,0.503
0.5139,0.5086
0.3838,0.376
0.4731,0.4453
0.4929,0.4677
0.4891,0.4341
0.4896,0.4669
